clause_text,clause_type,risk
Yes,No-Solicit Of Customers,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
"CONTENT LICENSE, MARKETING AND SALES AGREEMENT",Document Name,Low
"eFashion Solutions LLC (""EFS""); Playboy.com, Inc. (""Client"", which shall include  affiliates controlling, controlled by or under common control with Playboy.com, Inc.)",Parties,Low
1/15/08,Agreement Date,Low
1/15/08,Effective Date,Low
2/28/13,Expiration Date,Low
3 years,Renewal Term,Low
Illinois,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
SUPPLIER/SUBCONTRACTOR CONTRACT,Document Name,Low
"Playboy.com, Inc. (""Purchaser""); Supplier",Parties,Low
Yes,Non-Compete,Medium
Yes,Third Party Beneficiary,Low
NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT,Document Name,Low
"ScanSource, Inc. (""Distributor""); Cisco Systems, Inc. (""Cisco"")",Parties,Low
1/22/07,Agreement Date,Low
1/22/07,Effective Date,Low
1/22/09,Expiration Date,Low
1 year,Renewal Term,Low
New York,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
Software License Agreement [v.08.05.03],Document Name,Low
"Customer; Cisco Systems, Inc. or its subsidiaries licensing the Software instead of Cisco Systems (""Cisco""); Customer",Parties,Low
perpetual,Expiration Date,Low
California,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
SOFTWARE DEVELOPMENT AGREEMENT,Document Name,Low
"DOT COM LLC (""Developer""); Pelican Delivers Inc. (""Client"")(""Party"", and collectively as the ""Parties"")",Parties,Low
12/3/18,Agreement Date,Low
12/3/18,Effective Date,Low
perpetual,Expiration Date,Low
Yes,Non-Disparagement,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
"STATEMENT OF WORK - APPENDIX A

Software Development Agreement",Document Name,Low
"SEATTLE SOFTWARE DEVELOPERS, Inc. (""Developer""); PELICAN DELIVERS INC. (""Client"")",Parties,Low
MANUFACTURING AGREEMENT,Document Name,Low
"Stremicks Heritage Foods, LLC (""Heritage""); PREMIER NUTRITION CORPORATION (""Premier"")(""Party:, collectively, the ""Parties"")",Parties,Low
7/1/17,Agreement Date,Low
7/1/17,Effective Date,Low
12/31/22,Expiration Date,Low
California,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Insurance,High
"AMENDMENT NO. 1

MANUFACTURING AGREEMENT",Document Name,Low
"Stremick's Heritage Foods, LLC (""Heritage""); Premier Nutrition Corporation (""Premier"")",Parties,Low
6/11/18,Agreement Date,Low
6/11/18,Effective Date,Low
Yes,Minimum Commitment,Low
"AMENDMENT NO. 3

 MANUFACTURING AGREEMENT",Document Name,Low
"Stremicks Heritage Foods, LLC (""Heritage""); Premier Nutrition Corporation (""Premier"")",Parties,Low
7/3/19,Agreement Date,Low
7/3/19,Effective Date,Low
"AMENDMENT NO. 2 

MANUFACTURING AGREEMENT",Document Name,Low
"Stremick's Heritage Foods, LLC (""Heritage""); Premier Nutrition Corporation (""Premier""); Heritage and Premier (individually as a “Party” and collectively as the “Parties”)",Parties,Low
10/1/18,Agreement Date,Low
10/1/18,Effective Date,Low
12/31/21,Expiration Date,Low
CONSULTING AGREEMENT,Document Name,Low
"Slinger Bag Inc. (the ""Company""); Aitan Zacharin ( the ""Consultant"")",Parties,Low
04/30/[],Agreement Date,Low
04/30/[],Effective Date,Low
4/30/[][],Expiration Date,Low
New York,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
CONSULTING AGREEMENT,Document Name,Low
"Kriomic, Inc (""Company""); Gianluca Rotino (""Consultant"")",Parties,Low
7/20/18,Agreement Date,Low
7/1/18,Effective Date,Low
perpetual,Expiration Date,Low
Texas,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
CONSULTING AGREEMENT,Document Name,Low
"GROUPE PARAMEUS CORP (""Consultant""); Sphere 3D Corp. (""Company"")",Parties,Low
6/1/20,Agreement Date,Low
6/1/20,Effective Date,Low
6/1/21,Expiration Date,Low
1 month,Renewal Term,Low
New York,Governing Law,Low
Yes,Post-Termination Services,Medium
CONSULTING AGREEMENT,Document Name,Low
"Global Technologies, Ltd (""Company""); Timothy Cabrera (""Consultant""); Company and Consultant (individually, a “Party”; collectively, the “Parties”)",Parties,Low
1/2/20,Agreement Date,Low
1/2/20,Effective Date,Low
1/2/21,Expiration Date,Low
Florida,Governing Law,Low
Yes,No-Solicit Of Customers,Medium
Yes,Anti-Assignment,High
CONSULTING AGREEMENT,Document Name,Low
"EMERALD HEALTH NATURALS, INC (“Emerald”, “Company”); DR. GAETANO MORELLO N.D. INC (""Contractor"")",Parties,Low
1/10/19,Agreement Date,Low
1/10/19,Effective Date,Low
"British Columbia, Canada",Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
CONSULTING AGREEMENT,Document Name,Low
"Gunston Consulting, LLC (""CONSULTANT""); Medalist Diversified REIT, Inc. (""REIT"", ""Company""); CONSULTANT and Company (collectively the ""Parties"")",Parties,Low
3/1/20,Agreement Date,Low
3/1/20,Effective Date,Low
3/1/21,Expiration Date,Low
12 months,Renewal Term,Low
Virginia,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,No-Solicit Of Customers,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Non-Disparagement,Low
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Ip Ownership Assignment,Low
Yes,Liquidated Damages,High
Yes,Insurance,High
Consulting Agreement,Document Name,Low
"Driven Deliveries, Inc (""Company""); TruckThat LLC (""Consultant""); Company and Consultant (singularly as a “Party” or collectively as the “Parties”)",Parties,Low
5/1/19,Agreement Date,Low
5/1/19,Effective Date,Low
California,Governing Law,Low
Yes,Non-Compete,Medium
Yes,No-Solicit Of Customers,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
CONSULTING AGREEMENT,Document Name,Low
"Aduro Biotech, Inc (""Aduro""); IREYA B.V (""Consultant"")",Parties,Low
6/1/20,Agreement Date,Low
7/1/20,Effective Date,Low
12/31/20,Expiration Date,Low
California,Governing Law,Low
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Ip Ownership Assignment,Low
CONSULTING AGREEMENT,Document Name,Low
"Immunotolerance, Inc. (""Company""); Alan Crane (""Consultant"")",Parties,Low
3/27/17,Agreement Date,Low
3/27/21,Expiration Date,Low
successive 1 year,Renewal Term,Low
Massachusetts,Governing Law,Low
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Irrevocable Or Perpetual License,Low
CONSULTING AGREEMENT,Document Name,Low
"CORAL GOLD RESOURCED LTD. (""Company""); INTERMARK CAPITAL CORP. (""Consultant"")",Parties,Low
2/1/20,Agreement Date,Low
2/1/20,Effective Date,Low
31/01/2025,Expiration Date,Low
"British Columbia, Canada",Governing Law,Low
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
FRANCHISE AGREEMENT,Document Name,Low
"Pretzel Time, Inc. doing business as Pretzel Time (""Pretzel Time""; ""FRANCHISOR""); Franchisee (""Franchisee"")",Parties,Low
[]/[]/19[],Agreement Date,Low
[]/[]/19[],Effective Date,Low
5 years,Renewal Term,Low
Pennsylvania,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,No-Solicit Of Customers,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Non-Disparagement,Low
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
CONSULTING AGREEMENT,Document Name,Low
"Aduro Biotech, Inc. (""Aduro""); IREYA B.V (""Consultant"")",Parties,Low
6/1/20,Agreement Date,Low
7/1/20,Effective Date,Low
12/31/20,Expiration Date,Low
California,Governing Law,Low
Yes,Exclusivity,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
WEB SITE HOSTING AGREEMENT,Document Name,Low
"Centrack International Inc. (""Customer""); i-on interactive Inc. (""i-on"")",Parties,Low
4/6/99,Agreement Date,Low
4/1/99,Effective Date,Low
10/1/99,Expiration Date,Low
successive 1 month,Renewal Term,Low
Florida,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Cap On Liability,High
HOSTING AGREEMENT,Document Name,Low
"eGain Communications Corporation (""eGain""); Eliance Corporation (""Customer"")",Parties,Low
successine 1 year,Renewal Term,Low
California,Governing Law,Low
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Premium Managed Hosting Agreement,Document Name,Low
AstroNutrition.com; deep systems,Parties,Low
3/1/05,Agreement Date,Low
3/1/05,Effective Date,Low
2/28/06,Expiration Date,Low
Online Hosting Agreement,Document Name,Low
"Diplomat Direct Marketing Corporation (""Diplomat""); Tadeo E-Commerce Corp. (""Tadeo"")",Parties,Low
6/1/99,Agreement Date,Low
6/1/99,Effective Date,Low
6/1/00,Expiration Date,Low
1 year,Renewal Term,Low
New York,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,Audit Rights,Medium
LICENSE AND HOSTING AGREEMENT,Document Name,Low
"Transaction Applications Group, Inc. (""TAG""); Legacy Marketing Group, Inc. (""LMG"")",Parties,Low
10/17/07,Agreement Date,Low
10/17/07,Effective Date,Low
Georgia,Governing Law,Low
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
Franchise Agreement,Document Name,Low
"BW-3 FRANCHISE SYSTEMS, INC. (""Franchisor"", ""we"" or ""us""); Franchisee (""you"")",Parties,Low
[]/[]/19[],Agreement Date,Low
2 successive 5 years,Renewal Term,Low
THE STATE IN WHICH THE FRANCHISED RESTAURANT IS LOCATED; THE UNITED STATES TRADEMARK ACT OF 1946,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,No-Solicit Of Customers,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Liquidated Damages,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
Yes,Third Party Beneficiary,Low
AGENCY AGREEMENT,Document Name,Low
"The Bon-Ton Stores, Inc. and its associated chapter 11 debtors inpossession (collectively, “Merchant”); GA Retail, Inc. (“GA”); Tiger Capital Group, LLC (“Tiger” and collectively with GA, the “Agent”); Wilmington Savings Fund Society, FSB (the “Notes Trustee” and collectively with Agent, “Purchaser”); Purchaser and Merchant (collectively the “Parties”)",Parties,Low
4/18/18,Agreement Date,Low
Delaware,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Liquidated Damages,High
Yes,Insurance,High
AGENCY AGREEMENT,Document Name,Low
"Athens Bancshares Corporation (the ""Company""); Athens Federal Community Bank (the ""Bank""); Keefe, bruyette & Woods, Inc. (the ""Agent"")",Parties,Low
[]/[]/2009,Agreement Date,Low
New York,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Cap On Liability,High
Support and Maintenance Agreement,Document Name,Low
"XACCT Technologies, Inc. (""XACCT""); [] (""Licensee"")",Parties,Low
[]/[]/2000,Agreement Date,Low
[]/[]/2000,Effective Date,Low
[]/[]/2001,Expiration Date,Low
successive 1 year,Renewal Term,Low
California,Governing Law,Low
Yes,Cap On Liability,High
Yield Maintenance Agreement,Document Name,Low
"Wells Fargo Bank on behalf of Wells Fargo Mortgage Backed Securities 2006-6 Trust (""Counterparty""); UBS AG (""UBS AG"")",Parties,Low
4/27/06,Agreement Date,Low
4/1/06,Effective Date,Low
4/1/09,Expiration Date,Low
New York,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Cap On Liability,High
MAINTENANCE AGREEMENT,Document Name,Low
"Netzee, inc. (""Netzee""); The Bankers Bank (""Bankers Bank"")",Parties,Low
3/1/01,Effective Date,Low
3/1/02,Expiration Date,Low
successive 1 year,Renewal Term,Low
Yes,Price Restrictions,Low
MAINTENANCE AGREEMENT,Document Name,Low
"SAGEM S.A. (""MORPHO""); XIMAGE corporation (""XIMAGE"")",Parties,Low
1/31/94,Agreement Date,Low
12/10/93,Effective Date,Low
12/10/94,Expiration Date,Low
successive 1 year,Renewal Term,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,Cap On Liability,High
Services Agreement,Document Name,Low
"[ * * * ] (""Provider""); TELCOSTAR PTE, LTD.; Ability Computer & Software Industries Ltd; TELCOSTAR PTE, LTD. and Ability Computer & Software Industries Ltd (each and both of them ""Recipient""); Each of the foregoing parties is referred to herein as a “Party” and together as the “Parties”.",Parties,Low
10/1/19,Agreement Date,Low
11/1/19,Effective Date,Low
12/31/20,Expiration Date,Low
Israel,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
SERVICING AGREEMENT,Document Name,Low
"Nationwide Fund Management LLC (""Nationwide""); American United Life Insurance Company and OneAmerica Securities, Inc. (collectively referred to as ""Servicing Agent"", ""you"", or ""your"")",Parties,Low
[]/[]/20[],Agreement Date,Low
[]/[]/20[],Effective Date,Low
Delaware,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
SERVICING AGREEMENT,Document Name,Low
"CURO RECEIVABLES FINANCE II, LLC (""Owner""); CURO MANAGEMENT, LLC (""Servicer"")",Parties,Low
4/8/20,Agreement Date,Low
perpetual,Expiration Date,Low
New York,Governing Law,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Covenant Not To Sue,Low
Yes,Third Party Beneficiary,Low
SERVICE AGREEMENT FOR TRANSFER AGENT SERVICES,Document Name,Low
"Blackstone / GSO Long-Short Credit Income Fund (""Client""); Mellon Investor Services LLC operating with the service name BNY Mellon Shareowner Services (""Agent"")",Parties,Low
1/26/11,Agreement Date,Low
1/26/14,Expiration Date,Low
successive 3 years,Renewal Term,Low
New York,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
SERVICES AGREEMENT,Document Name,Low
"Oaktree Capital Management. L.P. (""Oaktree US""); Oaktree Capital Management (International) Limited (""Sub-Advisor"")",Parties,Low
9/25/18,Agreement Date,Low
9/25/18,Effective Date,Low
"England and Wales, UK",Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Master Service Agreement,Document Name,Low
"CRO Consultiong (Pty) Limited (""CRO""); Purinis Pharmaceuticals LLC (""Client"")",Parties,Low
5/25/08,Agreement Date,Low
5/25/18,Effective Date,Low
Connecticut,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,Post-Termination Services,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
MASTER SERVICES AGREEMENT (,Document Name,Low
"Clear Capital (""Company""); Radial Spark, LLC (""Contractor"")",Parties,Low
9/24/18,Agreement Date,Low
9/24/18,Effective Date,Low
perpetual,Expiration Date,Low
Arizona,Governing Law,Low
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
SERVICES AGREEMENT,Document Name,Low
"PFS Funds (""Trust""); Potomac Fund Management, Inc. (""Adviser"")",Parties,Low
6/24/20,Agreement Date,Low
6/24/20,Effective Date,Low
6/24/22,Expiration Date,Low
Massachusetts,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
SERVICES AGREEMENT,Document Name,Low
"Idan Maimon (""Maimon""); Intellisense Solutions Inc. (""Company"")",Parties,Low
4/1/19,Agreement Date,Low
4/1/19,Effective Date,Low
4/1/20,Expiration Date,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,No-Solicit Of Customers,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
SERVICE AGREEMENT,Document Name,Low
"The Victory Portfolios (""Trust""); Hartford Life Insurance Co., Inc. (""Administrator"")",Parties,Low
9/28/04,Agreement Date,Low
perpetual,Expiration Date,Low
Ohio,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
SERVICES AGREEMENT,Document Name,Low
"TransMontaigne Management Company, LLC (""EmployeeCo""); TLP Management Services, LLC (""Operating Company""); (each ""Party,"" collectively ""Parties"")",Parties,Low
08/[]/2019,Agreement Date,Low
08/[]/2019,Effective Date,Low
perpetual,Expiration Date,Low
Colorado,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
SERVICE AGREEMENT,Document Name,Low
"WPP 2005 LIMITED (""Company""); JOHN ROGERS (""Executive"")",Parties,Low
10/1/19,Agreement Date,Low
1/27/20,Effective Date,Low
perpetual,Expiration Date,Low
England,Governing Law,Low
Yes,Competitive Restriction Exception,Low
